,CelularPraAcessar,ComputadorPraAcessar,RendaPerCapita,TemCelular,TemComputador
489,Não,2.0,2364.0,2.0,1.0
493,Não,2.0,578.0,2.0,1.0
525,Sim,2.0,394.0,2.0,1.0
534,Sem Informação,missing,406.0,2.0,1.0
535,Sim,2.0,762.0,2.0,1.0
536,Não,2.0,316.0,2.0,1.0
538,Não,2.0,1500.0,2.0,1.0
540,Sim,2.0,535.0,2.0,1.0
549,Sem Informação,missing,770.0,2.0,1.0
550,Sim,2.0,529.0,2.0,1.0
552,Sim,2.0,300.0,2.0,1.0
554,Sem Informação,missing,197.0,2.0,1.0
561,Sim,2.0,600.0,2.0,1.0
589,Não,2.0,366.0,2.0,1.0
592,Não,2.0,999999999999.0,2.0,1.0
596,Sim,2.0,1560.0,2.0,1.0
598,Sim,2.0,1894.0,2.0,1.0
600,Sim,2.0,1850.0,2.0,1.0
601,Sim,2.0,2125.0,2.0,1.0
603,Sim,2.0,1125.0,2.0,1.0
618,Sim,2.0,701.0,2.0,1.0
619,Sim,2.0,880.0,2.0,1.0
629,Sim,2.0,1566.0,2.0,1.0
635,Sim,2.0,625.0,2.0,1.0
637,Sim,2.0,500.0,2.0,1.0
638,Sim,2.0,1433.0,2.0,1.0
646,Sim,2.0,1200.0,2.0,1.0
648,Sim,2.0,433.0,2.0,1.0
649,Sem Informação,missing,788.0,2.0,1.0
670,Sem Informação,missing,512.0,2.0,1.0
672,Sim,2.0,2600.0,2.0,1.0
674,Sim,2.0,788.0,2.0,1.0
675,Sim,2.0,388.0,2.0,1.0
676,Sim,2.0,500.0,2.0,1.0
678,Sim,2.0,3600.0,2.0,1.0
681,Sim,2.0,2800.0,2.0,1.0
683,Não,2.0,197.0,2.0,1.0
686,Sim,4.0,497.0,2.0,1.0
689,Não,2.0,1150.0,2.0,1.0
691,Não,2.0,1650.0,2.0,1.0
693,Sim,2.0,1550.0,2.0,1.0
694,Sim,2.0,1400.0,2.0,1.0
696,Sim,2.0,210.0,2.0,1.0
701,Sim,2.0,500.0,2.0,1.0
703,Sim,2.0,1375.0,2.0,1.0
705,Sim,2.0,1175.0,2.0,1.0
709,Sim,2.0,1300.0,2.0,1.0
710,Sim,2.0,1000.0,2.0,1.0
711,Sim,2.0,7800.0,2.0,1.0
715,Não,4.0,860.0,2.0,1.0
716,Sem Informação,missing,772.0,2.0,1.0
717,Não,2.0,1100.0,2.0,1.0
720,Sim,2.0,0.0,2.0,1.0
721,Não,2.0,600.0,2.0,1.0
722,Sim,2.0,975.0,2.0,1.0
724,Sim,2.0,4650.0,2.0,1.0
726,Sim,2.0,7980.0,2.0,1.0
730,Sim,2.0,400.0,2.0,1.0
733,Sim,2.0,1300.0,2.0,1.0
745,Não,2.0,600.0,2.0,1.0
749,Sim,2.0,2066.0,2.0,1.0
753,Sim,2.0,4028.0,2.0,1.0
761,Sim,2.0,732.0,2.0,1.0
764,Sim,2.0,3450.0,2.0,1.0
765,Sim,2.0,362.0,2.0,1.0
771,Sim,2.0,1300.0,2.0,1.0
775,Sim,2.0,1534.0,2.0,1.0
778,Sim,2.0,262.0,2.0,1.0
781,Sim,2.0,733.0,2.0,1.0
783,Sim,2.0,1338.0,2.0,1.0
788,Sim,2.0,592.0,2.0,1.0
796,Sim,2.0,2216.0,2.0,1.0
797,Sim,2.0,2780.0,2.0,1.0
798,Sim,2.0,929.0,2.0,1.0
799,Sim,2.0,964.0,2.0,1.0
800,Sim,2.0,5800.0,2.0,1.0
805,Não,2.0,1233.0,2.0,1.0
806,Sim,2.0,1454.0,2.0,1.0
811,Sim,2.0,1350.0,2.0,1.0
816,Sem Informação,missing,596.0,2.0,1.0
818,Sim,2.0,275.0,2.0,1.0
822,Sim,2.0,562.0,2.0,1.0
828,Sim,2.0,2935.0,2.0,1.0
836,Sim,2.0,1250.0,2.0,1.0
848,Sem Informação,missing,16.0,2.0,1.0
857,Sim,4.0,1325.0,2.0,1.0
858,Sim,2.0,550.0,2.0,1.0
862,Sim,2.0,583.0,2.0,1.0
873,Sim,2.0,300.0,2.0,1.0
876,Não,2.0,500.0,2.0,1.0
878,Sim,2.0,750.0,2.0,1.0
885,Não,2.0,398.0,2.0,1.0
888,Sim,4.0,485.0,2.0,1.0
893,Sim,4.0,1708.0,2.0,1.0
897,Sim,4.0,1750.0,2.0,1.0
904,Sim,2.0,2600.0,2.0,1.0
910,Sim,2.0,2033.0,2.0,1.0
912,Sim,2.0,500.0,2.0,1.0
914,Sim,2.0,556.0,2.0,1.0
916,Sem Informação,missing,875.0,2.0,1.0
931,Sim,2.0,1300.0,2.0,1.0
933,Sim,2.0,856.0,2.0,1.0
934,Sem Informação,missing,788.0,2.0,1.0
940,Sim,4.0,240.0,2.0,1.0
948,Sem Informação,missing,1176.0,2.0,1.0
949,Sem Informação,missing,760.0,2.0,1.0
951,Não,2.0,3700.0,2.0,1.0
952,Sim,2.0,1750.0,2.0,1.0
953,Sim,2.0,1472.0,2.0,1.0
968,Sem Informação,missing,1000.0,2.0,1.0
983,Sem Informação,missing,394.0,2.0,1.0
986,Não,2.0,1333.0,2.0,1.0
990,Sim,2.0,700.0,2.0,1.0
993,Sim,2.0,3000.0,2.0,1.0
997,Sim,2.0,1894.0,2.0,1.0
998,Não,2.0,300.0,2.0,1.0
999,Sim,2.0,800.0,2.0,1.0
1000,Sim,2.0,925.0,2.0,1.0
1002,Sim,2.0,1300.0,2.0,1.0
1004,Não,2.0,660.0,2.0,1.0
1005,Sim,2.0,1300.0,2.0,1.0
1006,Sim,2.0,930.0,2.0,1.0
1007,Sim,2.0,1866.0,2.0,1.0
1011,Sem Informação,missing,0.0,2.0,1.0
1012,Sim,2.0,1250.0,2.0,1.0
1014,Sem Informação,missing,447.0,2.0,1.0
1018,Sim,2.0,808.0,2.0,1.0
1019,Sim,2.0,625.0,2.0,1.0
1024,Sim,2.0,920.0,2.0,1.0
1030,Sim,2.0,1447.0,2.0,1.0
1033,Sim,2.0,750.0,2.0,1.0
1053,Sim,2.0,400.0,2.0,1.0
1055,Sim,2.0,1600.0,2.0,1.0
1060,Sim,2.0,830.0,2.0,1.0
1061,Sim,2.0,828.0,2.0,1.0
1063,Não,2.0,1175.0,2.0,1.0
1064,Sim,2.0,300.0,2.0,1.0
1067,Sim,2.0,1200.0,2.0,1.0
1069,Sim,2.0,1100.0,2.0,1.0
1070,Não,2.0,1460.0,2.0,1.0
1072,Sim,2.0,2697.0,2.0,1.0
1076,Sim,2.0,629.0,2.0,1.0
1077,Sim,2.0,6000.0,2.0,1.0
1078,Sim,4.0,866.0,2.0,1.0
1081,Sim,2.0,657.0,2.0,1.0
1083,Sim,2.0,763.0,2.0,1.0
1084,Sim,2.0,4000.0,2.0,1.0
1086,Sim,2.0,1100.0,2.0,1.0
1092,Sim,2.0,113.0,2.0,1.0
1103,Sim,2.0,1715.0,2.0,1.0
1104,Sim,2.0,325.0,2.0,1.0
1106,Não,2.0,800.0,2.0,1.0
1113,Sim,4.0,303.0,2.0,1.0
1114,Sim,2.0,1050.0,2.0,1.0
1116,Sim,2.0,3500.0,2.0,1.0
1123,Sim,2.0,2300.0,2.0,1.0
1127,Não,2.0,594.0,2.0,1.0
1145,Sim,2.0,300.0,2.0,1.0
1158,Sim,2.0,461.0,2.0,1.0
1166,Sim,2.0,630.0,2.0,1.0
1169,Sim,2.0,440.0,2.0,1.0
1181,Sim,2.0,633.0,2.0,1.0
1188,Sem Informação,missing,720.0,2.0,1.0
1200,Sem Informação,missing,260.0,2.0,1.0
1206,Sim,2.0,1525.0,2.0,1.0
1208,Sem Informação,missing,475.0,2.0,1.0
1209,Sim,2.0,600.0,2.0,1.0
1217,Não,2.0,2000.0,2.0,1.0
1219,Sim,2.0,1400.0,2.0,1.0
1224,Sim,2.0,390.0,2.0,1.0
1230,Sim,2.0,973.0,2.0,1.0
1235,Sim,2.0,850.0,2.0,1.0
1236,Sim,2.0,1966.0,2.0,1.0
1237,Sim,2.0,1300.0,2.0,1.0
1238,Sim,2.0,1600.0,2.0,1.0
1242,Sim,2.0,2000.0,2.0,1.0
1243,Sim,2.0,920.0,2.0,1.0
1244,Não,2.0,1000.0,2.0,1.0
1248,Não,2.0,3750.0,2.0,1.0
1254,Sim,2.0,2196.0,2.0,1.0
1256,Sim,2.0,282.0,2.0,1.0
1258,Sem Informação,missing,3950.0,2.0,1.0
1260,Sim,2.0,542.0,2.0,1.0
1261,Sim,2.0,2125.0,2.0,1.0
1264,Não,2.0,22000.0,2.0,1.0
1266,Não,2.0,400.0,2.0,1.0
1267,Não,2.0,3500.0,2.0,1.0
1269,Não,2.0,3000.0,2.0,1.0
1272,Não,2.0,2000.0,2.0,1.0
1274,Não,2.0,1000.0,2.0,1.0
1275,Sem Informação,missing,519.0,2.0,1.0
1276,Não,2.0,800.0,2.0,1.0
1277,Sim,2.0,1230.0,2.0,1.0
1278,Sim,2.0,131.0,2.0,1.0
1287,Sim,2.0,1540.0,2.0,1.0
1288,Sim,2.0,266.0,2.0,1.0
1292,Sim,2.0,586.0,2.0,1.0
1294,Sim,2.0,500.0,2.0,1.0
1295,Sem Informação,missing,3500.0,2.0,1.0
1299,Sim,2.0,716.0,2.0,1.0
1301,Sim,2.0,300.0,2.0,1.0
1302,Sem Informação,missing,1900.0,2.0,1.0
1303,Sim,2.0,1000.0,2.0,1.0
1304,Sim,2.0,1000.0,2.0,1.0
1306,Sem Informação,missing,1200.0,2.0,1.0
1308,Sim,2.0,2500.0,2.0,1.0
