,CelularPraAcessar,ComputadorPraAcessar,RendaPerCapita,TemCelular,TemComputador
39275,Sim,2.0,872.0,2.0,1.0
39276,Sim,2.0,970.0,2.0,1.0
39278,Sim,2.0,840.0,2.0,1.0
39279,Sim,2.0,413.0,2.0,1.0
39283,Sim,2.0,757.0,2.0,1.0
39284,Sim,2.0,10000.0,2.0,1.0
39285,Sim,2.0,2867.0,2.0,1.0
39286,Sim,2.0,1684.0,2.0,1.0
39288,Sim,2.0,1250.0,2.0,1.0
39289,Sem Informação,missing,1033.0,2.0,1.0
39290,Sim,2.0,2375.0,2.0,1.0
39291,Não,2.0,533.0,2.0,1.0
39292,Não,2.0,1225.0,2.0,1.0
39295,Não,2.0,1000.0,2.0,1.0
39301,Sim,2.0,947.0,2.0,1.0
39302,Sim,2.0,1125.0,2.0,1.0
39303,Não,2.0,458.0,2.0,1.0
39307,Sim,2.0,250.0,2.0,1.0
39311,Não,2.0,259.0,2.0,1.0
39314,Sim,2.0,166.0,2.0,1.0
39316,Sim,2.0,236.0,2.0,1.0
39318,Sem Informação,missing,525.0,2.0,1.0
39326,Sim,4.0,394.0,2.0,1.0
39328,Sem Informação,missing,100.0,2.0,1.0
39337,Sim,2.0,891.0,2.0,1.0
39340,Sim,2.0,820.0,2.0,1.0
39342,Sim,2.0,788.0,2.0,1.0
39346,Sim,2.0,790.0,2.0,1.0
39352,Sim,2.0,110.0,2.0,1.0
39353,Sim,2.0,788.0,2.0,1.0
39358,Sim,2.0,394.0,2.0,1.0
39359,Sim,2.0,686.0,2.0,1.0
39366,Sim,2.0,925.0,2.0,1.0
39367,Sim,4.0,623.0,2.0,1.0
39370,Sim,2.0,337.0,2.0,1.0
39371,Sim,2.0,262.0,2.0,1.0
39378,Sim,2.0,394.0,2.0,1.0
39383,Sim,2.0,394.0,2.0,1.0
39386,Sim,2.0,463.0,2.0,1.0
39391,Sim,2.0,525.0,2.0,1.0
39394,Sim,2.0,357.0,2.0,1.0
39397,Sim,2.0,1000.0,2.0,1.0
39400,Sim,2.0,470.0,2.0,1.0
39404,Sim,2.0,1000.0,2.0,1.0
39405,Sim,2.0,650.0,2.0,1.0
39406,Sim,2.0,197.0,2.0,1.0
39411,Sim,2.0,375.0,2.0,1.0
39412,Sim,2.0,421.0,2.0,1.0
39413,Sim,2.0,260.0,2.0,1.0
39414,Sim,2.0,788.0,2.0,1.0
39415,Sim,2.0,322.0,2.0,1.0
39417,Sim,2.0,562.0,2.0,1.0
39423,Sim,2.0,1088.0,2.0,1.0
39424,Sim,2.0,594.0,2.0,1.0
39427,Não,2.0,1000.0,2.0,1.0
39428,Sim,2.0,524.0,2.0,1.0
39429,Sim,2.0,572.0,2.0,1.0
39431,Não,2.0,529.0,2.0,1.0
39433,Sim,2.0,895.0,2.0,1.0
39434,Sim,2.0,766.0,2.0,1.0
39437,Sim,2.0,525.0,2.0,1.0
39446,Sim,2.0,1700.0,2.0,1.0
39450,Sim,2.0,845.0,2.0,1.0
39457,Sim,2.0,1182.0,2.0,1.0
39461,Sim,2.0,533.0,2.0,1.0
39468,Sim,2.0,950.0,2.0,1.0
39474,Sim,2.0,2101.0,2.0,1.0
39475,Sim,2.0,666.0,2.0,1.0
39476,Sim,2.0,522.0,2.0,1.0
39477,Sim,2.0,829.0,2.0,1.0
39485,Sim,2.0,275.0,2.0,1.0
39486,Sim,2.0,591.0,2.0,1.0
39489,Sim,2.0,4733.0,2.0,1.0
39495,Sim,2.0,160.0,2.0,1.0
39500,Não,2.0,1188.0,2.0,1.0
39502,Não,2.0,366.0,2.0,1.0
39503,Sim,2.0,844.0,2.0,1.0
39505,Sim,2.0,138.0,2.0,1.0
39514,Sim,2.0,700.0,2.0,1.0
39515,Sim,2.0,440.0,2.0,1.0
39519,Sim,2.0,788.0,2.0,1.0
39521,Sim,2.0,525.0,2.0,1.0
39522,Sim,2.0,500.0,2.0,1.0
39530,Não,2.0,1029.0,2.0,1.0
39541,Sim,4.0,157.0,2.0,1.0
39544,Sim,2.0,957.0,2.0,1.0
39545,Sim,2.0,238.0,2.0,1.0
39549,Sim,2.0,3000.0,2.0,1.0
39551,Sim,2.0,546.0,2.0,1.0
39552,Sim,2.0,539.0,2.0,1.0
39553,Sim,2.0,524.0,2.0,1.0
39557,Sim,2.0,1297.0,2.0,1.0
39560,Sim,2.0,2550.0,2.0,1.0
39562,Sim,2.0,1300.0,2.0,1.0
39572,Sim,2.0,563.0,2.0,1.0
39577,Sem Informação,missing,414.0,2.0,1.0
39579,Sim,4.0,7400.0,2.0,1.0
39595,Sem Informação,missing,316.0,2.0,1.0
39602,Sim,2.0,220.0,2.0,1.0
39627,Sim,2.0,2100.0,2.0,1.0
39629,Sim,2.0,225.0,2.0,1.0
39631,Sim,2.0,1913.0,2.0,1.0
39634,Sim,4.0,7733.0,2.0,1.0
39636,Sim,2.0,1596.0,2.0,1.0
39638,Sim,2.0,2750.0,2.0,1.0
39648,Sim,2.0,1250.0,2.0,1.0
39655,Sem Informação,missing,762.0,2.0,1.0
39656,Não,2.0,569.0,2.0,1.0
39667,Sim,2.0,900.0,2.0,1.0
39672,Sim,2.0,833.0,2.0,1.0
39676,Sem Informação,missing,800.0,2.0,1.0
39677,Sim,2.0,1025.0,2.0,1.0
39678,Sim,2.0,997.0,2.0,1.0
39690,Sim,2.0,1575.0,2.0,1.0
39691,Sim,2.0,3150.0,2.0,1.0
39696,Sim,2.0,400.0,2.0,1.0
39700,Sim,2.0,717.0,2.0,1.0
39704,Sem Informação,missing,625.0,2.0,1.0
39705,Não,2.0,8.0,2.0,1.0
39708,Sim,2.0,345.0,2.0,1.0
39722,Sim,4.0,197.0,2.0,1.0
39726,Sim,2.0,346.0,2.0,1.0
39734,Sim,2.0,575.0,2.0,1.0
39746,Sem Informação,missing,894.0,2.0,1.0
39751,Sem Informação,missing,316.0,2.0,1.0
39752,Sem Informação,missing,233.0,2.0,1.0
39755,Sem Informação,missing,1000.0,2.0,1.0
39760,Sim,2.0,1025.0,2.0,1.0
39771,Sem Informação,missing,299.0,2.0,1.0
39776,Sem Informação,missing,213.0,2.0,1.0
39782,Sim,2.0,706.0,2.0,1.0
39783,Sim,2.0,800.0,2.0,1.0
39784,Não,2.0,583.0,2.0,1.0
39786,Sim,2.0,2146.0,2.0,1.0
39787,Sim,2.0,1500.0,2.0,1.0
39788,Sim,2.0,529.0,2.0,1.0
39791,Sim,2.0,4000.0,2.0,1.0
39797,Sem Informação,missing,280.0,2.0,1.0
39798,Sim,2.0,376.0,2.0,1.0
39799,Sem Informação,missing,300.0,2.0,1.0
39800,Sim,2.0,829.0,2.0,1.0
39802,Sim,2.0,936.0,2.0,1.0
39813,Sim,2.0,255.0,2.0,1.0
39819,Sim,2.0,502.0,2.0,1.0
39821,Sim,2.0,875.0,2.0,1.0
39825,Sim,2.0,262.0,2.0,1.0
39835,Sim,2.0,2000.0,2.0,1.0
39836,Sim,2.0,2000.0,2.0,1.0
39844,Não,2.0,825.0,2.0,1.0
39845,Sim,2.0,650.0,2.0,1.0
39846,Sim,2.0,6806.0,2.0,1.0
39848,Sim,2.0,643.0,2.0,1.0
39849,Sim,2.0,2062.0,2.0,1.0
39850,Sim,2.0,2850.0,2.0,1.0
39851,Sim,2.0,6500.0,2.0,1.0
39852,Sim,2.0,2666.0,2.0,1.0
39857,Sim,2.0,429.0,2.0,1.0
39863,Sim,2.0,857.0,2.0,1.0
39870,Sim,2.0,788.0,2.0,1.0
39871,Sim,2.0,517.0,2.0,1.0
39881,Sim,2.0,1250.0,2.0,1.0
39884,Sim,4.0,262.0,2.0,1.0
39886,Sim,2.0,396.0,2.0,1.0
39934,Sim,2.0,652.0,2.0,1.0
39935,Sim,2.0,200.0,2.0,1.0
39938,Sim,2.0,526.0,2.0,1.0
39940,Sim,2.0,1033.0,2.0,1.0
39941,Sim,2.0,394.0,2.0,1.0
39943,Sim,2.0,2250.0,2.0,1.0
39999,Sim,4.0,197.0,2.0,1.0
40040,Sim,2.0,472.0,2.0,1.0
40045,Sem Informação,missing,619.0,2.0,1.0
40049,Sim,2.0,683.0,2.0,1.0
40052,Sim,2.0,1700.0,2.0,1.0
40065,Sem Informação,missing,133.0,2.0,1.0
40068,Sim,2.0,382.0,2.0,1.0
40069,Sim,2.0,270.0,2.0,1.0
40082,Sim,2.0,393.0,2.0,1.0
40089,Sim,2.0,788.0,2.0,1.0
40091,Sim,2.0,262.0,2.0,1.0
40097,Sem Informação,missing,100.0,2.0,1.0
40103,Sim,2.0,525.0,2.0,1.0
40122,Sim,2.0,2166.0,2.0,1.0
40125,Sim,2.0,447.0,2.0,1.0
40143,Sim,2.0,283.0,2.0,1.0
40144,Sim,2.0,833.0,2.0,1.0
40146,Sim,2.0,1025.0,2.0,1.0
40151,Sim,2.0,341.0,2.0,1.0
40152,Sim,2.0,1000.0,2.0,1.0
40159,Sim,2.0,555.0,2.0,1.0
40165,Sim,2.0,750.0,2.0,1.0
40166,Sim,2.0,720.0,2.0,1.0
40169,Sim,2.0,1700.0,2.0,1.0
40170,Sim,2.0,394.0,2.0,1.0
40171,Sim,2.0,2262.0,2.0,1.0
40173,Sim,2.0,1129.0,2.0,1.0
40174,Sim,2.0,866.0,2.0,1.0
40175,Sim,2.0,1550.0,2.0,1.0
40176,Sim,2.0,600.0,2.0,1.0
40177,Sim,4.0,1050.0,2.0,1.0
40178,Sim,2.0,3333.0,2.0,1.0
40179,Sim,2.0,600.0,2.0,1.0
40180,Não,2.0,1000.0,2.0,1.0
40181,Sim,2.0,533.0,2.0,1.0
40183,Sim,2.0,2500.0,2.0,1.0
40185,Sim,2.0,1833.0,2.0,1.0
40186,Sim,2.0,400.0,2.0,1.0
40187,Sim,2.0,1633.0,2.0,1.0
40188,Sim,2.0,513.0,2.0,1.0
40189,Sim,2.0,1500.0,2.0,1.0
40191,Sim,2.0,1433.0,2.0,1.0
40193,Sim,2.0,1131.0,2.0,1.0
40207,Sim,2.0,219.0,2.0,1.0
40218,Sim,2.0,200.0,2.0,1.0
40221,Sim,2.0,95.0,2.0,1.0
40223,Sim,2.0,457.0,2.0,1.0
40224,Sim,2.0,1183.0,2.0,1.0
40225,Sim,2.0,125.0,2.0,1.0
40233,Sem Informação,missing,124.0,2.0,1.0
40235,Sim,2.0,717.0,2.0,1.0
40236,Sim,2.0,400.0,2.0,1.0
40237,Sim,4.0,625.0,2.0,1.0
40239,Sim,4.0,324.0,2.0,1.0
40240,Sim,2.0,329.0,2.0,1.0
40243,Sim,2.0,630.0,2.0,1.0
40248,Sim,2.0,900.0,2.0,1.0
40250,Sim,2.0,463.0,2.0,1.0
40251,Sim,2.0,940.0,2.0,1.0
40264,Sim,2.0,1131.0,2.0,1.0
40265,Sim,2.0,394.0,2.0,1.0
40266,Sim,4.0,197.0,2.0,1.0
40267,Sim,2.0,3185.0,2.0,1.0
40271,Sim,2.0,980.0,2.0,1.0
40273,Sim,2.0,5000.0,2.0,1.0
40284,Sim,2.0,852.0,2.0,1.0
40286,Sim,2.0,500.0,2.0,1.0
40287,Sim,2.0,1097.0,2.0,1.0
40291,Sim,2.0,550.0,2.0,1.0
40292,Sim,2.0,315.0,2.0,1.0
40295,Sim,2.0,3000.0,2.0,1.0
40298,Sim,2.0,825.0,2.0,1.0
40302,Sim,2.0,400.0,2.0,1.0
40304,Sim,2.0,400.0,2.0,1.0
40308,Sim,2.0,625.0,2.0,1.0
40309,Sim,2.0,895.0,2.0,1.0
40311,Sim,2.0,1888.0,2.0,1.0
40314,Sim,2.0,262.0,2.0,1.0
40316,Sim,2.0,1100.0,2.0,1.0
40318,Sim,2.0,512.0,2.0,1.0
40319,Sim,2.0,6333.0,2.0,1.0
40320,Sim,2.0,216.0,2.0,1.0
40322,Sim,2.0,1700.0,2.0,1.0
40323,Sim,2.0,1000.0,2.0,1.0
40324,Sim,2.0,1477.0,2.0,1.0
40325,Sim,2.0,1000.0,2.0,1.0
40326,Sim,2.0,1166.0,2.0,1.0
40330,Sim,2.0,100.0,2.0,1.0
40332,Sim,2.0,1200.0,2.0,1.0
40334,Sim,2.0,266.0,2.0,1.0
40335,Sim,2.0,325.0,2.0,1.0
40336,Sim,2.0,225.0,2.0,1.0
40338,Sim,2.0,396.0,2.0,1.0
40341,Sem Informação,missing,337.0,2.0,1.0
40345,Sim,2.0,640.0,2.0,1.0
40348,Sim,2.0,422.0,2.0,1.0
40351,Sim,2.0,394.0,2.0,1.0
40357,Sim,2.0,997.0,2.0,1.0
40359,Sim,2.0,662.0,2.0,1.0
40372,Sim,2.0,468.0,2.0,1.0
40378,Sem Informação,missing,173.0,2.0,1.0
40379,Sim,4.0,666.0,2.0,1.0
40381,Sim,2.0,425.0,2.0,1.0
40389,Sim,2.0,1500.0,2.0,1.0
40392,Sim,2.0,650.0,2.0,1.0
40399,Sim,2.0,2833.0,2.0,1.0
40400,Sim,2.0,160.0,2.0,1.0
40401,Sim,2.0,400.0,2.0,1.0
40402,Sim,2.0,666.0,2.0,1.0
40415,Sem Informação,missing,75.0,2.0,1.0
40421,Não,2.0,37.0,2.0,1.0
40422,Sim,2.0,200.0,2.0,1.0
40423,Sim,2.0,1808.0,2.0,1.0
40425,Sim,4.0,384.0,2.0,1.0
40426,Sim,2.0,197.0,2.0,1.0
40427,Sim,2.0,60.0,2.0,1.0
40428,Sim,2.0,50.0,2.0,1.0
40430,Sim,2.0,457.0,2.0,1.0
40433,Sim,2.0,156.0,2.0,1.0
40434,Sim,2.0,433.0,2.0,1.0
40435,Sim,2.0,1816.0,2.0,1.0
40437,Sim,2.0,157.0,2.0,1.0
40440,Não,2.0,75.0,2.0,1.0
40456,Sim,2.0,400.0,2.0,1.0
40461,Sim,2.0,766.0,2.0,1.0
40468,Sim,2.0,300.0,2.0,1.0
40471,Sim,2.0,1200.0,2.0,1.0
40472,Sim,2.0,633.0,2.0,1.0
40473,Sem Informação,missing,420.0,2.0,1.0
40481,Sim,2.0,200.0,2.0,1.0
40493,Sim,2.0,999999999999.0,2.0,1.0
40495,Sim,2.0,474.0,2.0,1.0
40510,Não,2.0,697.0,2.0,1.0
40520,Não,2.0,225.0,2.0,1.0
40525,Não,2.0,727.0,2.0,1.0
40535,Sem Informação,missing,210.0,2.0,1.0
40539,Sim,4.0,275.0,2.0,1.0
40555,Sim,2.0,595.0,2.0,1.0
40556,Não,2.0,456.0,2.0,1.0
40561,Sim,4.0,642.0,2.0,1.0
40582,Sim,2.0,2537.0,2.0,1.0
40587,Não,2.0,144.0,2.0,1.0
40592,Sim,2.0,571.0,2.0,1.0
40598,Sim,2.0,262.0,2.0,1.0
40601,Sim,2.0,1000.0,2.0,1.0
40603,Sim,2.0,1166.0,2.0,1.0
40604,Sem Informação,missing,200.0,2.0,1.0
40605,Sim,2.0,925.0,2.0,1.0
40608,Sem Informação,missing,600.0,2.0,1.0
40613,Sim,2.0,1200.0,2.0,1.0
40615,Sim,4.0,1182.0,2.0,1.0
40617,Sim,2.0,747.0,2.0,1.0
40620,Sim,2.0,750.0,2.0,1.0
40621,Sim,2.0,733.0,2.0,1.0
40623,Sem Informação,missing,500.0,2.0,1.0
40624,Sim,2.0,450.0,2.0,1.0
40625,Sim,2.0,1150.0,2.0,1.0
40626,Sim,2.0,616.0,2.0,1.0
40628,Sim,2.0,840.0,2.0,1.0
40635,Sim,2.0,681.0,2.0,1.0
40636,Sim,2.0,333.0,2.0,1.0
40637,Não,2.0,2000.0,2.0,1.0
40638,Sim,2.0,858.0,2.0,1.0
40640,Sem Informação,missing,1297.0,2.0,1.0
40642,Sim,2.0,694.0,2.0,1.0
40646,Sim,2.0,837.0,2.0,1.0
40648,Sim,2.0,1059.0,2.0,1.0
40649,Sim,2.0,434.0,2.0,1.0
40654,Sim,2.0,397.0,2.0,1.0
40658,Sim,2.0,1192.0,2.0,1.0
40662,Sim,2.0,2700.0,2.0,1.0
40666,Sim,2.0,750.0,2.0,1.0
40673,Sim,2.0,612.0,2.0,1.0
40674,Sim,2.0,394.0,2.0,1.0
40675,Sim,2.0,666.0,2.0,1.0
40676,Sim,2.0,450.0,2.0,1.0
40679,Sim,2.0,450.0,2.0,1.0
40683,Sim,2.0,1000.0,2.0,1.0
40686,Sim,2.0,600.0,2.0,1.0
40688,Sim,2.0,515.0,2.0,1.0
40689,Não,2.0,497.0,2.0,1.0
40692,Não,2.0,797.0,2.0,1.0
40694,Sim,2.0,333.0,2.0,1.0
40699,Sim,2.0,166.0,2.0,1.0
40703,Sim,2.0,400.0,2.0,1.0
40705,Sem Informação,missing,1044.0,2.0,1.0
40707,Sim,2.0,176.0,2.0,1.0
40711,Não,2.0,425.0,2.0,1.0
40716,Sim,2.0,799.0,2.0,1.0
40717,Sim,2.0,394.0,2.0,1.0
40721,Sim,2.0,333.0,2.0,1.0
40724,Sim,2.0,770.0,2.0,1.0
40727,Sim,2.0,157.0,2.0,1.0
40735,Sim,2.0,794.0,2.0,1.0
40744,Sim,2.0,1197.0,2.0,1.0
40748,Sim,2.0,750.0,2.0,1.0
40751,Sim,2.0,1188.0,2.0,1.0
40755,Sim,2.0,1100.0,2.0,1.0
40756,Não,2.0,300.0,2.0,1.0
40757,Sim,2.0,500.0,2.0,1.0
40764,Sim,2.0,183.0,2.0,1.0
40768,Sim,2.0,457.0,2.0,1.0
40779,Sim,2.0,1000.0,2.0,1.0
40780,Sim,2.0,866.0,2.0,1.0
40788,Sim,2.0,14250.0,2.0,1.0
40794,Não,2.0,333.0,2.0,1.0
40795,Sim,2.0,500.0,2.0,1.0
40803,Sim,2.0,462.0,2.0,1.0
40805,Sem Informação,missing,231.0,2.0,1.0
40810,Sim,4.0,434.0,2.0,1.0
40811,Sim,2.0,650.0,2.0,1.0
40815,Sim,2.0,223.0,2.0,1.0
40816,Sim,2.0,375.0,2.0,1.0
40818,Sim,2.0,525.0,2.0,1.0
40821,Não,2.0,1129.0,2.0,1.0
40834,Sim,2.0,3333.0,2.0,1.0
40835,Não,2.0,200.0,2.0,1.0
40839,Sim,2.0,262.0,2.0,1.0
40841,Sim,2.0,2000.0,2.0,1.0
40842,Sim,2.0,2750.0,2.0,1.0
40844,Sim,2.0,1970.0,2.0,1.0
40846,Sim,2.0,1682.0,2.0,1.0
40848,Sim,2.0,525.0,2.0,1.0
40855,Sim,2.0,900.0,2.0,1.0
40864,Sim,2.0,682.0,2.0,1.0
40877,Sim,2.0,195.0,2.0,1.0
40879,Sim,2.0,525.0,2.0,1.0
40885,Sim,2.0,788.0,2.0,1.0
40887,Sim,2.0,808.0,2.0,1.0
40890,Sim,2.0,1666.0,2.0,1.0
40894,Sim,2.0,1200.0,2.0,1.0
40896,Sim,2.0,1275.0,2.0,1.0
40899,Sim,2.0,6666.0,2.0,1.0
40903,Não,2.0,225.0,2.0,1.0
40915,Sim,2.0,925.0,2.0,1.0
40916,Sim,2.0,1325.0,2.0,1.0
40917,Sim,2.0,2566.0,2.0,1.0
40921,Sim,2.0,600.0,2.0,1.0
40922,Sim,2.0,529.0,2.0,1.0
40928,Sim,2.0,600.0,2.0,1.0
40929,Sim,2.0,1162.0,2.0,1.0
40931,Sim,2.0,1450.0,2.0,1.0
40934,Sem Informação,missing,888.0,2.0,1.0
40937,Sim,2.0,1200.0,2.0,1.0
40938,Sim,2.0,703.0,2.0,1.0
40940,Sim,2.0,430.0,2.0,1.0
40943,Sim,2.0,788.0,2.0,1.0
40945,Sem Informação,missing,462.0,2.0,1.0
40947,Sim,2.0,1000.0,2.0,1.0
40950,Sim,2.0,800.0,2.0,1.0
40952,Sim,4.0,465.0,2.0,1.0
40953,Sem Informação,missing,660.0,2.0,1.0
40957,Sim,2.0,447.0,2.0,1.0
40962,Sim,2.0,650.0,2.0,1.0
40964,Sim,2.0,1466.0,2.0,1.0
40965,Sim,2.0,1572.0,2.0,1.0
40967,Sim,2.0,4518.0,2.0,1.0
40972,Sim,2.0,572.0,2.0,1.0
40974,Sim,2.0,600.0,2.0,1.0
40975,Sim,2.0,647.0,2.0,1.0
40987,Sim,4.0,792.0,2.0,1.0
40992,Sim,2.0,466.0,2.0,1.0
40994,Sim,2.0,300.0,2.0,1.0
41000,Sim,2.0,1258.0,2.0,1.0
41002,Sim,2.0,740.0,2.0,1.0
41004,Sim,2.0,394.0,2.0,1.0
41008,Sim,2.0,594.0,2.0,1.0
41012,Sem Informação,missing,788.0,2.0,1.0
41014,Sim,2.0,232.0,2.0,1.0
41017,Sim,2.0,1500.0,2.0,1.0
41018,Sim,2.0,750.0,2.0,1.0
41021,Sim,2.0,650.0,2.0,1.0
41022,Sim,2.0,757.0,2.0,1.0
41024,Sem Informação,missing,250.0,2.0,1.0
41029,Sim,2.0,550.0,2.0,1.0
41030,Sim,2.0,394.0,2.0,1.0
41033,Sim,2.0,475.0,2.0,1.0
41036,Sim,2.0,383.0,2.0,1.0
41038,Sim,2.0,318.0,2.0,1.0
41091,Não,2.0,644.0,2.0,1.0
41094,Não,2.0,431.0,2.0,1.0
41096,Não,2.0,300.0,2.0,1.0
41098,Sim,4.0,345.0,2.0,1.0
41099,Não,2.0,1195.0,2.0,1.0
41101,Sim,2.0,266.0,2.0,1.0
41104,Sim,2.0,300.0,2.0,1.0
41105,Sem Informação,missing,45.0,2.0,1.0
41107,Não,2.0,5000.0,2.0,1.0
41109,Sim,2.0,966.0,2.0,1.0
41111,Sim,2.0,700.0,2.0,1.0
41112,Sim,2.0,3197.0,2.0,1.0
41114,Sim,2.0,2776.0,2.0,1.0
41117,Não,2.0,300.0,2.0,1.0
41127,Sim,2.0,596.0,2.0,1.0
41154,Sim,2.0,966.0,2.0,1.0
41155,Não,2.0,600.0,2.0,1.0
41157,Sim,2.0,1900.0,2.0,1.0
41158,Não,2.0,1782.0,2.0,1.0
41161,Não,2.0,352.0,2.0,1.0
41162,Sim,2.0,1266.0,2.0,1.0
41163,Não,2.0,176.0,2.0,1.0
41165,Sim,2.0,300.0,2.0,1.0
41177,Não,2.0,262.0,2.0,1.0
41178,Sim,2.0,537.0,2.0,1.0
41197,Sem Informação,missing,999999999999.0,2.0,1.0
41211,Não,2.0,436.0,2.0,1.0
41213,Sim,2.0,414.0,2.0,1.0
41215,Sim,2.0,158.0,2.0,1.0
41225,Não,2.0,536.0,2.0,1.0
41244,Sim,2.0,994.0,2.0,1.0
41245,Sim,2.0,16666.0,2.0,1.0
41246,Sim,2.0,4000.0,2.0,1.0
41247,Sim,4.0,4000.0,2.0,1.0
41254,Sim,2.0,866.0,2.0,1.0
41255,Sim,2.0,450.0,2.0,1.0
41258,Não,2.0,132.0,2.0,1.0
41259,Sim,2.0,675.0,2.0,1.0
41265,Não,2.0,1576.0,2.0,1.0
41270,Sim,4.0,214.0,2.0,1.0
41272,Sim,2.0,297.0,2.0,1.0
41275,Sim,2.0,788.0,2.0,1.0
41279,Sim,2.0,525.0,2.0,1.0
41286,Não,2.0,419.0,2.0,1.0
41299,Sim,2.0,548.0,2.0,1.0
41301,Sim,2.0,900.0,2.0,1.0
41302,Sim,2.0,1500.0,2.0,1.0
41304,Sem Informação,missing,733.0,2.0,1.0
41305,Sim,2.0,1485.0,2.0,1.0
41306,Sim,2.0,3250.0,2.0,1.0
41309,Sim,2.0,1250.0,2.0,1.0
41312,Sim,2.0,3923.0,2.0,1.0
41313,Sim,4.0,997.0,2.0,1.0
41317,Sim,2.0,562.0,2.0,1.0
41319,Sim,2.0,833.0,2.0,1.0
41321,Sim,2.0,5394.0,2.0,1.0
41324,Sim,2.0,491.0,2.0,1.0
41325,Sim,2.0,2333.0,2.0,1.0
41334,Sim,2.0,1044.0,2.0,1.0
41336,Não,2.0,394.0,2.0,1.0
41338,Sem Informação,missing,2047.0,2.0,1.0
41339,Sem Informação,missing,394.0,2.0,1.0
41344,Sim,2.0,394.0,2.0,1.0
41345,Sim,2.0,322.0,2.0,1.0
41346,Sim,2.0,447.0,2.0,1.0
41351,Não,2.0,340.0,2.0,1.0
41362,Sim,2.0,1072.0,2.0,1.0
41363,Sim,2.0,125.0,2.0,1.0
41365,Sim,2.0,200.0,2.0,1.0
41370,Sim,2.0,740.0,2.0,1.0
41377,Não,2.0,187.0,2.0,1.0
41384,Sim,4.0,350.0,2.0,1.0
41387,Sim,2.0,1612.0,2.0,1.0
41388,Sim,2.0,800.0,2.0,1.0
41396,Sim,2.0,456.0,2.0,1.0
41427,Não,2.0,394.0,2.0,1.0
41428,Sem Informação,missing,225.0,2.0,1.0
41438,Sim,2.0,1000.0,2.0,1.0
41441,Sem Informação,missing,999999999999.0,2.0,1.0
41454,Sim,2.0,102.0,2.0,1.0
41471,Sim,2.0,197.0,2.0,1.0
41480,Sim,2.0,591.0,2.0,1.0
41485,Sim,2.0,325.0,2.0,1.0
41489,Sim,2.0,262.0,2.0,1.0
41490,Sim,2.0,227.0,2.0,1.0
41492,Sem Informação,missing,666.0,2.0,1.0
41507,Sem Informação,missing,500.0,2.0,1.0
41508,Sim,4.0,275.0,2.0,1.0
41510,Não,2.0,766.0,2.0,1.0
41515,Sim,2.0,1000.0,2.0,1.0
41518,Sim,2.0,482.0,2.0,1.0
41522,Sem Informação,missing,650.0,2.0,1.0
41524,Sem Informação,missing,2750.0,2.0,1.0
41525,Sim,2.0,950.0,2.0,1.0
41528,Sim,2.0,200.0,2.0,1.0
41531,Sim,2.0,476.0,2.0,1.0
41544,Sim,2.0,425.0,2.0,1.0
41546,Sem Informação,missing,292.0,2.0,1.0
41559,Sim,2.0,1500.0,2.0,1.0
41575,Sim,2.0,422.0,2.0,1.0
41581,Sim,2.0,4250.0,2.0,1.0
41583,Sim,2.0,796.0,2.0,1.0
41589,Sim,2.0,610.0,2.0,1.0
41594,Sim,2.0,733.0,2.0,1.0
41595,Sim,2.0,477.0,2.0,1.0
41598,Sim,4.0,175.0,2.0,1.0
41600,Sem Informação,missing,630.0,2.0,1.0
41602,Sim,2.0,896.0,2.0,1.0
41623,Sim,2.0,300.0,2.0,1.0
41642,Sim,2.0,766.0,2.0,1.0
41643,Sim,2.0,1125.0,2.0,1.0
41660,Sem Informação,missing,355.0,2.0,1.0
41698,Sim,4.0,116.0,2.0,1.0
41699,Sim,2.0,700.0,2.0,1.0
41701,Sem Informação,missing,521.0,2.0,1.0
41703,Sim,2.0,240.0,2.0,1.0
41708,Sem Informação,missing,394.0,2.0,1.0
41737,Sim,2.0,300.0,2.0,1.0
41739,Não,2.0,275.0,2.0,1.0
41741,Sim,2.0,1350.0,2.0,1.0
41743,Sim,2.0,612.0,2.0,1.0
41744,Sem Informação,missing,525.0,2.0,1.0
41749,Sim,2.0,2333.0,2.0,1.0
41755,Sim,2.0,250.0,2.0,1.0
41760,Sim,2.0,3250.0,2.0,1.0
41762,Sim,2.0,400.0,2.0,1.0
41763,Sim,2.0,900.0,2.0,1.0
41768,Sem Informação,missing,504.0,2.0,1.0
41769,Sem Informação,missing,311.0,2.0,1.0
41783,Sim,2.0,1000.0,2.0,1.0
41803,Sim,2.0,5000.0,2.0,1.0
41815,Sim,2.0,1040.0,2.0,1.0
41817,Sim,2.0,1166.0,2.0,1.0
41819,Sem Informação,missing,309.0,2.0,1.0
41822,Sim,2.0,280.0,2.0,1.0
41824,Sim,4.0,444.0,2.0,1.0
41825,Sim,2.0,700.0,2.0,1.0
41830,Sim,2.0,999999999999.0,2.0,1.0
41834,Sem Informação,missing,788.0,2.0,1.0
41839,Sim,2.0,631.0,2.0,1.0
41855,Não,2.0,137.0,2.0,1.0
41864,Sem Informação,missing,1788.0,2.0,1.0
41865,Sim,2.0,400.0,2.0,1.0
41868,Sem Informação,missing,311.0,2.0,1.0
41886,Sim,2.0,3300.0,2.0,1.0
41897,Sim,2.0,578.0,2.0,1.0
41937,Sim,2.0,3150.0,2.0,1.0
41940,Sim,2.0,6300.0,2.0,1.0
